mode,case,sample,loops,microseconds
C_native,nested,7,15,75477
A_all,nested,7,15,58417
A_guard,nested,7,15,67607
B_naive,nested,7,15,55333
B_guard,nested,7,15,56447
C,nested,7,15,72717
C_native,class_map,7,1,90372
A_all,class_map,7,1,92967
A_guard,class_map,7,1,97411
B_naive,class_map,7,1,77811
B_guard,class_map,7,1,74413
C,class_map,7,1,84825
C_native,block_map,7,1,297584
A_all,block_map,7,1,302481
A_guard,block_map,7,1,287125
B_naive,block_map,7,1,403544
B_guard,block_map,7,1,311416
C,block_map,7,1,277358
C_native,browser,7,1,145649
A_all,browser,7,1,138988
A_guard,browser,7,1,142507
B_naive,browser,7,1,155698
B_guard,browser,7,1,147525
C,browser,7,1,150823
A_all,constant,8,40,61538
A_guard,constant,8,40,64971
B_naive,constant,8,40,17354
B_guard,constant,8,40,19665
C,constant,8,40,79173
C_native,constant,8,40,79097
A_all,getter,8,8,65942
A_guard,getter,8,8,69812
B_naive,getter,8,8,77108
B_guard,getter,8,8,60074
C,getter,8,8,64707
C_native,getter,8,8,60644
A_all,arithmetic,8,8,64904
A_guard,arithmetic,8,8,63232
B_naive,arithmetic,8,8,57062
B_guard,arithmetic,8,8,55818
C,arithmetic,8,8,58124
C_native,arithmetic,8,8,57818
A_all,nested,8,15,58524
A_guard,nested,8,15,68992
B_naive,nested,8,15,54819
B_guard,nested,8,15,50761
C,nested,8,15,70534
C_native,nested,8,15,79037
A_all,class_map,8,1,87741
A_guard,class_map,8,1,87622
B_naive,class_map,8,1,83467
B_guard,class_map,8,1,76656
C,class_map,8,1,116714
C_native,class_map,8,1,83354
A_all,block_map,8,1,294050
A_guard,block_map,8,1,289380
B_naive,block_map,8,1,494378
B_guard,block_map,8,1,288586
C,block_map,8,1,293019
C_native,block_map,8,1,291684
A_all,browser,8,1,145316
A_guard,browser,8,1,138166
B_naive,browser,8,1,169561
B_guard,browser,8,1,141298
C,browser,8,1,142960
C_native,browser,8,1,138201
A_guard,constant,9,40,48618
B_naive,constant,9,40,16938
B_guard,constant,9,40,16854
C,constant,9,40,60235
C_native,constant,9,40,60445
A_all,constant,9,40,52215
A_guard,getter,9,8,48806
B_naive,getter,9,8,43917
B_guard,getter,9,8,44026
C,getter,9,8,51815
C_native,getter,9,8,85939
A_all,getter,9,8,48819
A_guard,arithmetic,9,8,54573
B_naive,arithmetic,9,8,50115
B_guard,arithmetic,9,8,50550
C,arithmetic,9,8,57755
C_native,arithmetic,9,8,58431
A_all,arithmetic,9,8,54542
A_guard,nested,9,15,62324
B_naive,nested,9,15,59272
B_guard,nested,9,15,52057
C,nested,9,15,70565
C_native,nested,9,15,69501
A_all,nested,9,15,53891
A_guard,class_map,9,1,93990
B_naive,class_map,9,1,76281
B_guard,class_map,9,1,68057
C,class_map,9,1,85241
C_native,class_map,9,1,83593
A_all,class_map,9,1,76628
A_guard,block_map,9,1,288379
B_naive,block_map,9,1,391117
B_guard,block_map,9,1,283744
C,block_map,9,1,313089
C_native,block_map,9,1,277636
A_all,block_map,9,1,276341
A_guard,browser,9,1,146365
B_naive,browser,9,1,143450
B_guard,browser,9,1,157047
C,browser,9,1,139621
C_native,browser,9,1,139558
A_all,browser,9,1,139807
B_naive,constant,10,40,17375
B_guard,constant,10,40,16946
C,constant,10,40,61518
C_native,constant,10,40,63294
A_all,constant,10,40,51012
A_guard,constant,10,40,48445
B_naive,getter,10,8,49074
B_guard,getter,10,8,45167
C,getter,10,8,50772
C_native,getter,10,8,52866
A_all,getter,10,8,51481
A_guard,getter,10,8,50723
B_naive,arithmetic,10,8,52425
B_guard,arithmetic,10,8,52508
C,arithmetic,10,8,57258
C_native,arithmetic,10,8,57504
A_all,arithmetic,10,8,58724
A_guard,arithmetic,10,8,66737
B_naive,nested,10,15,62113
B_guard,nested,10,15,59375
C,nested,10,15,82776
C_native,nested,10,15,83075
A_all,nested,10,15,58861
A_guard,nested,10,15,66855
