mode,case,round,loops,microseconds
off,constant,23,24,72926
on,nested,23,12,76577
off,nested,23,12,96380
on,numeric,23,24,61730
off,numeric,23,24,81524
on,getter,23,8,75859
off,getter,23,8,81577
on,class_map,23,3,367723
off,class_map,23,3,429992
on,block_map,23,3,1322668
off,block_map,23,3,1230110
on,browser,23,1,380905
off,browser,23,1,341350
